LoRA_0,LoRA_1,LoRA_2,LoRA_3,LoRA_4,LoRA_5,LoRA_6,LoRA_7,LoRA_8,LoRA_9,LoRA_10,LoRA_11,LoRA_12,LoRA_13,LoRA_14,LoRA_15,LoRA_16,LoRA_17,LoRA_18,LoRA_19,LoRA_20,LoRA_21,LoRA_22,LoRA_23,LoRA_24,LoRA_25,LoRA_26,LoRA_27,LoRA_28,LoRA_29,LoRA_30,LoRA_31,LoRA_32,LoRA_33,LoRA_34,LoRA_35,LoRA_36,LoRA_37,LoRA_38,LoRA_39,LoRA_40,LoRA_41,LoRA_42,LoRA_43,LoRA_44,LoRA_45,LoRA_46,LoRA_47,LoRA_48,LoRA_49,LoRA_50,LoRA_51,LoRA_52,LoRA_53,LoRA_54,LoRA_55,LoRA_56,LoRA_57,LoRA_58,LoRA_59,LoRA_60,LoRA_61,LoRA_62,LoRA_63,LoRA_64,LoRA_65,LoRA_66,LoRA_67,LoRA_68,LoRA_69,LoRA_70,LoRA_71,LoRA_72,LoRA_73,LoRA_74,LoRA_75,LoRA_76,LoRA_77,LoRA_78,LoRA_79,LoRA_80,LoRA_81,LoRA_82,LoRA_83,LoRA_84,LoRA_85,LoRA_86,LoRA_87,LoRA_88,LoRA_89,LoRA_90,LoRA_91,LoRA_92,LoRA_93,LoRA_94,LoRA_95,LoRA_96,LoRA_97,LoRA_98,LoRA_99,LoRA_100,LoRA_101,LoRA_102,LoRA_103,LoRA_104,LoRA_105,LoRA_106,LoRA_107,LoRA_108,LoRA_109,LoRA_110,LoRA_111,LoRA_112,LoRA_113,LoRA_114,LoRA_115,LoRA_116,LoRA_117,LoRA_118,LoRA_119,LoRA_120,LoRA_121,LoRA_122,LoRA_123,LoRA_124,LoRA_125
0.0,1.1064601822946183,0.0,0.0,0.0,0.0,0.0,0.0,0.40201990256858466,0.0,0.20100995128429233,0.0,0.0,0.3024203771574488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.25649256696173,0.0,0.0,16.406758185907105,0.40201990256858466,0.0,0.0,0.0,0.0,0.0,2.8250047207522164,0.0,14.378549668443975,8.040398051371694,0.0,0.0,0.0,5.939753515427737,0.6030298538528771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.446805644793519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7094900361474952,0.0,0.0,0.0,0.0,0.0,0.0,0.5034303284417412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.714786560693252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6098905107363595,0.0,0.0,0.0,0.0,17.909805569384243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.1064601822946183,0.0,0.0,0.0,0.0,0.0,0.0,1.3074701335789105,0.0,0.0,0.0,0.0,0.8040398051371693,0.0,0.0,0.0,0.0,0.0,0.20100995128429233,0.20100995128429233,44.00488122710184,0.0,0.0,13.581753465154888,0.0,0.0,0.0,0.0,0.0,0.0,3.730454951762542,0.3024203771574488,13.074701335789104,9.760753490291313,0.0,0.0,0.0,2.408497614487467,0.3024203771574488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.537350667894552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6030298538528771,0.0,0.0,0.0,0.0,0.0,0.7044402797260334,0.0,0.0,0.0,0.0,0.0,0.0,0.8040398051371693,0.0,0.0,0.0,0.0,0.0,0.0,0.20100995128429233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.076966653097383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7094900361474952,0.6030298538528771,0.0,0.0,0.0,15.193454876353266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.7044402797260334,0.0,0.0,0.0,0.0,0.0,0.0,0.40201990256858466,0.0,0.0,0.0,0.0,0.7044402797260334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.82379118089977,0.0,0.0,19.014454851216843,0.0,0.0,0.0,0.0,0.0,0.0,2.607696665309738,0.6030298538528771,12.875502284966833,12.984156312688071,0.0,0.0,0.0,3.0242037715744883,0.5034303284417412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.219398076508119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3074701335789105,0.0,0.0,0.0,0.0,0.0,0.0,1.8109004620206517,0.0,0.0,0.0,0.0,0.0,0.0,0.7044402797260334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.171516422087056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.209298563665195,0.6030298538528771,0.0,0.0,0.0,15.59185297799781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.1064601822946183,0.0,0.0,0.0,0.0,0.0,0.0,0.8040398051371693,0.0,0.0,0.0,0.0,0.8040398051371693,0.0,0.0,0.0,0.0,0.0,0.3024203771574488,0.3024203771574488,44.91033145811216,0.0,0.0,24.99042637588499,0.3024203771574488,0.0,0.0,0.0,0.0,0.0,4.41859712733039,0.40201990256858466,12.67630323414456,9.452900411747802,0.20100995128429233,0.0,0.3024203771574488,7.044402797260335,0.8040398051371693,0.0,0.0,0.0,0.6030298538528771,0.0,0.0,0.3024203771574488,0.0,0.0,0.0,0.0,0.0,5.740554464605466,0.3024203771574488,0.6030298538528771,0.0,0.0,0.3024203771574488,0.0,0.0,0.5034303284417412,0.3024203771574488,0.0,0.0,0.0,0.0,0.8040398051371693,0.0,0.3024203771574488,0.0,0.0,0.6030298538528771,0.3024203771574488,4.020199025685847,0.0,0.0,0.0,0.0,0.0,0.0,0.20100995128429233,0.0,0.0,0.0,0.3024203771574488,0.0,0.0,0.0,0.0,0.0,25.35260646828912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6098905107363595,0.20100995128429233,0.0,0.0,0.0,12.368450155601051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0068606568834824,0.0,0.0,0.0,0.0,0.0,0.0,0.8040398051371693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.28052104229358,0.0,0.0,18.833364805014778,0.20100995128429233,0.0,0.0,0.0,0.0,0.5034303284417412,6.138952566250009,0.20100995128429233,13.183355363510344,7.551454926626117,0.40201990256858466,0.0,0.0,6.537350667894552,0.3024203771574488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3024203771574488,0.0,0.0,0.0,0.0,4.41859712733039,0.0,0.7044402797260334,0.0,0.0,0.0,0.0,0.0,1.3074701335789105,0.0,0.0,0.0,0.0,0.0,0.20100995128429233,0.0,0.0,0.0,0.0,0.0,0.6030298538528771,1.5084800848632027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.636255775258146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.219398076508119,0.40201990256858466,0.0,0.0,0.0,13.273900386611377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.9054502310103258,0.0,0.0,0.0,0.0,0.0,0.0,0.20100995128429233,0.0,0.0,0.0,0.0,0.20100995128429233,0.0,0.0,0.0,0.0,0.0,0.3024203771574488,0.3024203771574488,45.81578168912248,0.0,0.0,15.990251079642354,0.20100995128429233,0.0,0.0,0.0,0.0,0.0,4.219398076508119,2.517151642208706,11.879507030855475,9.452900411747802,0.5034303284417412,0.0,0.0,5.124848307518444,0.3024203771574488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6218009240413034,0.0,0.20100995128429233,0.0,0.0,0.0,0.0,0.0,0.40201990256858466,0.0,0.0,0.0,0.0,0.0,1.3074701335789105,0.0,0.0,0.0,0.0,0.0,0.0,2.209298563665195,0.0,0.0,0.0,0.0,0.0,0.0,0.5034303284417412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.368625451843688,0.0,0.0,0.0,0.0,0.6030298538528771,0.0,0.0,0.0,0.0,3.0242037715744883,0.8040398051371693,0.0,0.0,0.0,14.994255825530995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.6098905107363595,0.0,0.0,0.0,0.0,0.0,0.0,0.3024203771574488,0.0,0.0,0.0,0.0,0.6030298538528771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.38308030306053,0.0,0.0,19.376634943620974,0.0,0.0,0.0,0.0,0.0,0.20100995128429233,5.233502335239683,1.3074701335789105,15.084800848632028,10.159151591935856,0.6030298538528771,0.0,0.0,4.925649256696173,0.5034303284417412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.517151642208706,0.0,0.5034303284417412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.929654002584814,0.0,0.0,0.0,0.0,0.0,0.0,1.9195544897418908,0.0,0.0,0.0,0.0,0.0,0.0,0.7044402797260334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.45516572905608,0.0,0.0,0.0,0.0,0.8040398051371693,0.0,0.0,0.0,0.0,1.9195544897418908,0.40201990256858466,0.0,0.0,0.0,14.885601797809755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.8040398051371693,0.0,0.0,0.0,0.0,0.0,0.0,1.3074701335789105,0.0,0.0,0.0,0.0,0.20100995128429233,0.0,0.0,0.0,0.0,0.0,0.3024203771574488,0.0,43.82379118089977,0.0,0.0,18.652274758812712,0.20100995128429233,0.0,0.0,0.0,0.0,0.40201990256858466,3.929654002584814,0.6030298538528771,12.277905132500019,6.229497589351041,0.40201990256858466,0.0,0.6030298538528771,5.541355413783194,0.6030298538528771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1147487946755206,0.0,0.40201990256858466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.41859712733039,0.0,0.0,0.0,0.0,0.0,0.0,1.4088805594520668,0.0,0.0,0.0,0.0,0.0,0.0,0.6030298538528771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.99042637588499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.209298563665195,0.6030298538528771,0.0,0.0,0.0,18.471184712610647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.8040398051371693,0.0,0.0,0.0,0.0,0.0,0.0,0.20100995128429233,0.0,0.0,0.0,0.0,0.5034303284417412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.304549517625425,0.0,0.0,14.994255825530995,0.20100995128429233,0.0,0.0,0.0,0.0,0.20100995128429233,2.915549743853249,0.5034303284417412,13.473099437433648,8.746649231559747,1.6098905107363595,0.0,0.20100995128429233,5.034303284417412,0.20100995128429233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.233502335239683,0.0,0.5034303284417412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5131468963200643,0.0,0.0,0.0,0.0,0.0,0.0,1.9195544897418908,0.0,0.0,0.0,0.0,0.0,0.0,0.40201990256858466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.99042637588499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.607696665309738,0.5034303284417412,0.0,0.0,0.0,16.298104158185865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.7094900361474952,0.0,0.0,0.0,0.0,0.0,0.0,0.9054502310103258,0.0,0.0,0.0,0.0,0.5034303284417412,0.0,0.0,0.0,0.0,0.0,0.20100995128429233,0.5034303284417412,44.91033145811216,0.0,0.0,16.605957236729378,0.0,0.0,0.0,0.0,0.0,1.7094900361474952,1.9195544897418908,0.40201990256858466,14.08880559452067,8.855303259280987,0.9054502310103258,0.0,0.0,5.233502335239683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.442800898904878,0.0,0.6030298538528771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5084800848632027,0.0,0.0,0.0,0.0,0.0,0.0,2.317952591386434,0.0,0.0,0.0,0.0,0.0,0.0,0.20100995128429233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.171516422087056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.607696665309738,0.7044402797260334,0.0,0.0,0.0,18.652274758812712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
